PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
34817209,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
34593911,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
33767178,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
33766766,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
33709142,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
33503246,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
33396288,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
33055231,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
32479636,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
32441897,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
32054787,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31774950,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31588837,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31492688,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31448686,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31431358,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31389664,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31358469,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31195019,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31142680,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
31003196,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
30962389,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
30527603,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
30385162,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
29789732,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
29601894,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
29466861,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
29106386,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
28905886,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
28807438,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
28636653,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
28465098,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
28262699,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
28132865,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27979676,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27959624,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27743917,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27771389,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27622456,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27611077,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27521366,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27337455,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27209148,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
27189922,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
